car_title,car_price_highlighted,car_km,car_hand,car_fuel,car_engine,car_hp,car_transmission,car_drive,car_color,car_body
"Skoda Superb, 2022",₪ 215 000,50 000 km,1st hand,Plug-in Hybrid,1.4 l,156 hp,Robotic,FWD,White,Liftback
"Toyota Yaris, 2017",₪ 56 900,143 000 km,2nd hand,Hybrid,1.5 l,100 hp,Variable,FWD,White,Mini 5-doors
"Kia Stonic, 2020",₪ 86 000,31 600 km,1st hand,Gasoline,1.0 l,120 hp,Robotic,FWD,Blue,SUV 5-doors
"Mazda CX-5, 2013",₪ 54 900,139 000 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Audi Q5, 2012",₪ 61 900,140 000 km,3rd hand,Gasoline,2.0 l,225 hp,Automatic,4x4,Light Grey,SUV 5-doors
"Ford Focus, 2012",₪ 14 900,250 000 km,2nd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Silver,Estate 5-door
"Nissan X-Trail, 2021",₪ 114 900,60 000 km,1st hand,Gasoline,1.3 l,160 hp,Robotic,FWD,Black,SUV 5-doors
"Toyota Corolla, 2021",₪ 109 900,72 000 km,1st hand,Hybrid,1.8 l,121 hp,Variable,FWD,Silver,Sedan
"Volvo S90, 2018",₪ 138 500,126 000 km,2nd hand,Gasoline,2.0 l,320 hp,Automatic,4x4,White,Sedan
"Hyundai IONIQ, 2018",₪ 76 900,134 000 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,White,Hatchback 5-door
"Audi Q3 Sportback, 2020",₪ 180 000,65 000 km,2nd hand,Gasoline,1.5 l,150 hp,Robotic,FWD,White,SUV Coupe
"Citroen C4 Cactus, 2019",₪ 55 000,75 000 km,1st hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Grey,SUV 5-doors
"Kia Sportage, 2021",₪ 91 900,121 000 km,1st hand,Diesel,1.6 l,136 hp,Robotic,FWD,White,SUV 5-doors
"Skoda Scala, 2020",₪ 71 900,56 000 km,1st hand,Gasoline,1.0 l,115 hp,Robotic,FWD,White,Hatchback 5-door
"Opel Astra, 2012",₪ 10 900,160 000 km,3rd hand,Gasoline,1.4 l,140 hp,Automatic,FWD,Ruby,Hatchback 5-door
"Toyota Corolla, 2021",₪ 89 900,108 000 km,1st hand,Hybrid,1.8 l,98 hp,Variable,FWD,White,Estate 5-door
"Kia Niro, 2019",₪ 113 000,91 000 km,1st hand,Plug-in Hybrid,1.6 l,141 hp,Robotic,FWD,White,SUV 5-doors
"Peugeot 3008, 2020",₪ 91 900,137 000 km,1st hand,Diesel,1.5 l,130 hp,Automatic,FWD,White,SUV 5-doors
"Hyundai IONIQ, 2019",₪ 89 950,109 000 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Silver,Hatchback 5-door
"Skoda Superb, 2019",₪ 107 900,116 000 km,2nd hand,Gasoline,1.8 l,180 hp,Robotic,FWD,Bronze,Liftback
"Skoda Octavia, 2021",₪ 99 900,52 000 km,1st hand,Gasoline,1.0 l,110 hp,Robotic,FWD,Grey,Liftback
"Citroen C4 SpaceTourer, 2020",₪ 73 900,76 000 km,2nd hand,Gasoline,1.2 l,130 hp,Automatic,FWD,White,Compact Van
"Chevrolet Spark, 2021",₪ 62 000,61 000 km,1st hand,Gasoline,1.4 l,98 hp,Variable,FWD,Grey,Mini 5-doors
"Isuzu D-Max, 2013",₪ 90 000,270 000 km,3rd hand,Diesel,2.5 l,163 hp,Automatic,RWD,White,Pickup double-cab
"Subaru Impreza, 2008",₪ 14 900,113 000 km,3rd hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Grey,Hatchback 5-door
"Toyota Corolla, 2019",₪ 89 000,156 000 km,1st hand,Hybrid,1.8 l,121 hp,Variable,FWD,White,Sedan
"Daihatsu Sirion, 2008",₪ 13 500,220 000 km,4th hand,Gasoline,1.3 l,87 hp,Automatic,FWD,Light Grey,Mini 5-doors
"Opel Astra, 2014",₪ 13 500,170 000 km,3rd hand,Gasoline,1.4 l,140 hp,Automatic,FWD,Light blue,Estate 5-door
"Kia Picanto, 2022",₪ 73 000,43 000 km,1st hand,Gasoline,1.2 l,84 hp,Robotic,FWD,Grey,Mini 5-doors
"Lexus RX, 2023",₪ 520 000,28 000 km,2nd hand,Hybrid,2.4 l,371 hp,Automatic,4x4,Black,SUV 5-doors
"Mazda CX-5, 2014",₪ 52 000,260 000 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Skoda Superb, 2015",₪ 46 900,125 000 km,2nd hand,Gasoline,1.8 l,160 hp,Robotic,FWD,White,Liftback
"Skoda Superb, 2017",₪ 69 900,149 000 km,2nd hand,Gasoline,1.4 l,150 hp,Robotic,FWD,Black,Liftback
"Nissan X-Trail, 2021",₪ 114 900,60 000 km,1st hand,Gasoline,1.3 l,160 hp,Robotic,FWD,Black,SUV 5-doors
"Chevrolet Malibu, 2017",₪ 51 900,176 000 km,3rd hand,Gasoline,1.5 l,160 hp,Automatic,FWD,White,Sedan
"Fiat 500X, 2016",₪ 45 000,74 000 km,3rd hand,Gasoline,1.4 l,140 hp,Robotic,FWD,White,SUV 5-doors
"Peugeot 208, 2020",₪ 52 500,58 880 km,2nd hand,Gasoline,1.2 l,110 hp,Automatic,FWD,Grey,Mini 5-doors
"Jeep Grand Cherokee, 2004",₪ 63 000,282 000 km,3rd hand,Gasoline,4.7 l,265 hp,Automatic,4x4,Silver,SUV 5-doors
"Peugeot 2008, 2014",₪ 24 900,143 000 km,3rd hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Grey,Estate 5-door
"Nissan X-Trail, 2020",₪ 94 900,127 000 km,2nd hand,Diesel,1.7 l,150 hp,Automatic,FWD,Grey,SUV 5-doors
"Chevrolet Spark, 2016",₪ 34 800,85 000 km,2nd hand,Gasoline,1.4 l,98 hp,Variable,FWD,Silver,Mini 5-doors
"Ford Fiesta, 2015",₪ 19 900,187 000 km,2nd hand,Gasoline,1.2 l,82 hp,Manual,FWD,Silver,Mini 5-doors
"Volkswagen Passat, 2009",₪ 18 000,148 000 km,2nd hand,Gasoline,1.8 l,160 hp,Automatic,FWD,Light blue,Sedan
"Hyundai i20, 2013",₪ 29 900,161 000 km,3rd hand,Gasoline,1.4 l,100 hp,Automatic,FWD,Silver,Mini 5-doors
"Hyundai i25, 2016",₪ 39 900,127 000 km,2nd hand,Gasoline,1.4 l,100 hp,Automatic,FWD,White,Sedan
"Suzuki Baleno, 2019",₪ 57 000,99 000 km,2nd hand,Gasoline,1.2 l,90 hp,Automatic,FWD,White,Mini 5-doors
"Nissan Juke, 2012",₪ 28 900,162 000 km,3rd hand,Gasoline,1.6 l,117 hp,Variable,FWD,Red,SUV 5-doors
"Nissan X-Trail, 2016",₪ 73 000,141 000 km,2nd hand,Diesel,1.6 l,130 hp,Variable,FWD,Black,SUV 5-doors
"Mercedes C-Class, 2013",₪ 72 000,372 000 km,4th hand,Diesel,2.1 l,120 hp,Manual,RWD,White,Sedan
"Kia Forte, 2012",₪ 24 000,167 000 km,2nd hand,Gasoline,1.6 l,126 hp,Automatic,FWD,Silver,Sedan
"Hyundai i35, 2013",₪ 32 900,168 000 km,3rd hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Bronze,Sedan
"Mitsubishi Space Star, 2014",₪ 24 900,109 500 km,3rd hand,Gasoline,1.2 l,80 hp,Variable,FWD,Grey,Hatchback 5-door
"Ford Focus, 2012",₪ 18 900,168 000 km,2nd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Grey,Estate 5-door
"Kia Sportage, 2019",₪ 93 900,69 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Silver,SUV 5-doors
"Suzuki Crossover, 2019",₪ 83 900,49 900 km,1st hand,Gasoline,1.4 l,140 hp,Automatic,FWD,White,SUV 5-doors
"Peugeot 2008, 2018",₪ 48 000,90 000 km,2nd hand,Gasoline,1.2 l,110 hp,Automatic,FWD,Grey,Estate 5-door
"Mazda 3, 2014",₪ 43 800,151 000 km,2nd hand,Gasoline,1.5 l,120 hp,Automatic,FWD,Blue,Hatchback 5-door
"Honda Civic, 2012",₪ 23 900,172 000 km,1st hand,Gasoline,1.8 l,142 hp,Automatic,FWD,Grey,Hatchback 5-door
"Kia Niro, 2019",₪ 104 000,75 800 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Light blue,SUV 5-doors
"Volkswagen Jetta, 2012",₪ 28 500,133 000 km,1st hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Grey,Sedan
"Kia Soul, 2014",₪ 39 900,140 300 km,1st hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Beige,Hatchback 5-door
"Mitsubishi Attrage, 2014",₪ 23 900,148 000 km,3rd hand,Gasoline,1.2 l,80 hp,Variable,FWD,Silver,Sedan
"Skoda Fabia, 2011",₪ 18 500,154 000 km,2nd hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Bronze,Estate 5-door
"Skoda Octavia, 2018",₪ 66 900,48 500 km,1st hand,Diesel,2.0 l,150 hp,Robotic,FWD,White,Liftback
"Chevrolet Cruze, 2014",₪ 21 900,163 000 km,4th hand,Gasoline,1.8 l,141 hp,Automatic,FWD,Silver,Estate 5-door
"Mitsubishi Outlander, 2014",₪ 41 900,164 000 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,4x4,White,SUV 5-doors
"Citroen Jumpy, 2019",₪ 119 900,108 000 km,1st hand,Diesel,2.0 l,177 hp,Automatic,FWD,White,Van Short
"Toyota Yaris, 2015",₪ 45 500,109 000 km,2nd hand,Gasoline,1.3 l,99 hp,Variable,FWD,White,Mini 5-doors
"Kia Rio, 2011",₪ 15 500,135 000 km,4th hand,Gasoline,1.4 l,97 hp,Automatic,FWD,White,Sedan
"Fiat 500X, 2017",₪ 48 000,160 000 km,1st hand,Gasoline,1.4 l,140 hp,Robotic,FWD,White,SUV 5-doors
"Suzuki SX4, 2009",₪ 16 900,167 000 km,2nd hand,Gasoline,1.6 l,107 hp,Automatic,FWD,Grey,Sedan
"Mitsubishi Outlander, 2016",₪ 64 900,121 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,Silver,SUV 5-doors
"Hyundai Tucson, 2021",₪ 139 900,24 500 km,1st hand,Gasoline,1.6 l,180 hp,Robotic,FWD,White,SUV 5-doors
"Hyundai i10, 2015",₪ 33 900,122 000 km,2nd hand,Gasoline,1.0 l,67 hp,Automatic,FWD,Blue,Mini 5-doors
"Kia Ceed, 2014",₪ 29 900,124 000 km,2nd hand,Gasoline,1.6 l,135 hp,Robotic,FWD,Grey,Estate 5-door
"Honda CR-V, 2015",₪ 59 000,156 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,4x4,Grey,SUV 5-doors
"Toyota Yaris, 2014",₪ 44 500,164 000 km,2nd hand,Hybrid,1.5 l,76 hp,Variable,FWD,Grey,Mini 5-doors
"Toyota Yaris, 2020",₪ 67 000,110 000 km,2nd hand,Gasoline,1.5 l,112 hp,Variable,FWD,White,Mini 5-doors
"Toyota Auris, 2013",₪ 44 900,183 000 km,2nd hand,Hybrid,1.8 l,99 hp,Variable,FWD,White,Hatchback 5-door
"Toyota Verso, 2011",₪ 39 900,193 000 km,2nd hand,Gasoline,1.8 l,147 hp,Variable,FWD,Silver,Compact Van
"Volkswagen Golf, 2016",₪ 46 900,149 000 km,1st hand,Gasoline,1.4 l,125 hp,Robotic,FWD,Blue,Hatchback 5-door
"SEAT Leon, 2017",₪ 39 900,148 000 km,3rd hand,Gasoline,1.2 l,110 hp,Robotic,FWD,Silver,Estate 5-door
"Skoda Superb, 2018",₪ 85 000,105 900 km,2nd hand,Gasoline,1.8 l,180 hp,Robotic,FWD,White,Liftback
"Skoda Fabia, 2013",₪ 26 900,87 000 km,1st hand,Gasoline,1.4 l,86 hp,Manual,FWD,Bronze,Hatchback 5-door
"Mazda 2, 2018",₪ 57 900,118 000 km,2nd hand,Gasoline,1.5 l,111 hp,Automatic,FWD,White,Mini 5-doors
"Subaru Impreza, 2011",₪ 14 900,194 000 km,3rd hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Silver,Hatchback 5-door
"Hyundai i10, 2011",₪ 16 000,140 000 km,3rd hand,Gasoline,1.1 l,69 hp,Manual,FWD,White,Mini 5-doors
"Renault Megane, 2009",₪ 8 900,197 000 km,3rd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Beige,Sedan
"Renault Captur, 2014",₪ 31 900,109 800 km,4th hand,Gasoline,1.2 l,118 hp,Robotic,FWD,Beige,SUV 5-doors
"Nissan Qashqai, 2016",₪ 59 000,128 000 km,2nd hand,Gasoline,1.2 l,115 hp,Variable,FWD,White,SUV 5-doors
"Skoda Octavia, 2015",₪ 43 900,156 000 km,2nd hand,Gasoline,1.2 l,110 hp,Robotic,FWD,Grey,Liftback
"Skoda Yeti, 2016",₪ 38 900,113 500 km,1st hand,Gasoline,1.2 l,110 hp,Robotic,FWD,Brown,SUV 5-doors
"Subaru XV, 2016",₪ 59 000,105 000 km,2nd hand,Gasoline,1.6 l,114 hp,Variable,4x4,White,SUV 5-doors
"Hyundai i30, 2010",₪ 32 900,43 000 km,1st hand,Gasoline,1.6 l,126 hp,Automatic,FWD,Silver,Hatchback 5-door
"Nissan Juke, 2012",₪ 28 900,147 000 km,4th hand,Gasoline,1.6 l,117 hp,Variable,FWD,Grey,SUV 5-doors
"Suzuki Baleno, 2017",₪ 55 900,71 600 km,1st hand,Gasoline,1.2 l,90 hp,Automatic,FWD,Silver,Mini 5-doors
"Citroen Berlingo, 2021",₪ 99 900,41 000 km,2nd hand,Diesel,1.5 l,130 hp,Automatic,FWD,White,Van
"Hyundai i25, 2012",₪ 31 500,131 000 km,3rd hand,Gasoline,1.6 l,124 hp,Automatic,FWD,Bronze,Sedan
"Subaru B4, 2010",₪ 16 900,158 000 km,4th hand,Gasoline,2.0 l,150 hp,Variable,4x4,Golden,Sedan
"Suzuki Crossover, 2019",₪ 79 900,55 600 km,1st hand,Gasoline,1.4 l,140 hp,Automatic,FWD,White,SUV 5-doors
"Hyundai i30, 2014",₪ 39 900,163 600 km,2nd hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Silver,Hatchback 5-door
"Peugeot 5008, 2020",₪ 119 000,106 000 km,2nd hand,Diesel,1.5 l,130 hp,Automatic,FWD,Grey,SUV 5-doors
"Renault Megane, 2018",₪ 59 000,145 000 km,2nd hand,Diesel,1.5 l,116 hp,Robotic,FWD,White,Sedan
"Hyundai Getz, 2005",₪ 6 900,162 000 km,3rd hand,Gasoline,1.3 l,82 hp,Automatic,FWD,Light blue,Mini 5-doors
"Volkswagen T-Cross, 2021",₪ 99 900,29 500 km,1st hand,Gasoline,1.0 l,115 hp,Robotic,FWD,Grey,SUV 5-doors
"Nissan Juke, 2014",₪ 36 000,55 600 km,2nd hand,Gasoline,1.6 l,117 hp,Variable,FWD,Red,SUV 5-doors
"BMW X5, 2016",₪ 196 000,80 000 km,3rd hand,Plug-in Hybrid,2.0 l,313 hp,Automatic,4x4,White,SUV 5-doors
"Hyundai Accent, 2003",₪ 5 900,170 000 km,3rd hand,Gasoline,1.5 l,91 hp,Manual,FWD,White,Sedan
"Suzuki Vitara, 2016",₪ 72 900,73 000 km,2nd hand,Gasoline,1.6 l,119 hp,Automatic,FWD,White,SUV 5-doors
"Hyundai i30, 2013",₪ 29 000,138 000 km,4th hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Silver,Estate 5-door
"Chevrolet Sonic, 2014",₪ 18 900,88 000 km,2nd hand,Gasoline,1.4 l,101 hp,Automatic,FWD,Silver,Sedan
"Mitsubishi Lancer, 2008",₪ 15 900,168 000 km,4th hand,Gasoline,1.6 l,98 hp,Automatic,FWD,Grey,Sedan
"Ford Focus, 2008",₪ 10 900,166 000 km,3rd hand,Gasoline,1.6 l,100 hp,Automatic,FWD,Grey,Sedan
"Audi A1, 2018",₪ 77 500,86 000 km,3rd hand,Gasoline,1.0 l,95 hp,Robotic,FWD,Silver,Mini 5-doors
"Renault Fluence, 2016",₪ 27 900,147 000 km,2nd hand,Diesel,1.5 l,110 hp,Robotic,FWD,Beige,Sedan
"Mazda CX-5, 2014",₪ 75 000,95 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Grey,SUV 5-doors
"BMW 1 series, 2017",₪ 89 000,130 000 km,3rd hand,Gasoline,2.0 l,184 hp,Automatic,RWD,Grey,Hatchback 5-door
"Kia Rio, 2015",₪ 32 900,141 000 km,3rd hand,Gasoline,1.4 l,109 hp,Automatic,FWD,Silver,Hatchback 5-door
"Nissan Qashqai, 2015",₪ 51 900,87 000 km,2nd hand,Gasoline,1.2 l,115 hp,Variable,FWD,Brown,SUV 5-doors
"Suzuki Ignis, 2018",₪ 59 900,65 400 km,1st hand,Gasoline,1.3 l,90 hp,Variable,FWD,Blue,Mini 5-doors
"Hyundai Elantra, 2019",₪ 71 900,83 600 km,1st hand,Gasoline,1.6 l,127 hp,Automatic,FWD,White,Sedan
"Honda Civic, 2006",₪ 9 900,187 000 km,3rd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,White,Sedan
"Skoda Octavia, 2015",₪ 38 900,220 000 km,2nd hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Black,Liftback
"Toyota Corolla, 2010",₪ 28 900,157 500 km,3rd hand,Gasoline,1.6 l,124 hp,Automatic,FWD,Silver,Sedan
"Hyundai Tucson, 2018",₪ 98 900,123 000 km,1st hand,Gasoline,1.6 l,177 hp,Robotic,FWD,Black,SUV 5-doors
"Kia Stonic, 2021",₪ 78 900,80 000 km,2nd hand,Gasoline,1.4 l,100 hp,Manual,FWD,Grey,SUV 5-doors
"Jeep Grand Cherokee, 2019",₪ 129 900,93 000 km,2nd hand,Gasoline,3.6 l,286 hp,Automatic,4x4,Black,SUV 5-doors
"Mitsubishi Lancer, 2008",₪ 8 900,268 000 km,3rd hand,Gasoline,1.6 l,98 hp,Automatic,FWD,Silver,Sedan
"Kia Rio, 2015",₪ 29 500,158 000 km,3rd hand,Gasoline,1.4 l,109 hp,Automatic,FWD,White,Sedan
"Fiat Qubo, 2017",₪ 33 900,135 000 km,3rd hand,Diesel,1.2 l,80 hp,Robotic,FWD,Black,Compact Van
"Nissan Qashqai, 2021",₪ 107 000,85 000 km,1st hand,Diesel,1.5 l,115 hp,Robotic,FWD,White,SUV 5-doors
"Kia Niro, 2017",₪ 85 000,97 000 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Grey,SUV 5-doors
"Subaru XV, 2015",₪ 45 900,147 000 km,3rd hand,Gasoline,1.6 l,114 hp,Variable,4x4,Blue,SUV 5-doors
"Ford Mustang, 1967",₪ 145 000,78 000 km,3rd hand,Gasoline,4.7 l,228 hp,Automatic,RWD,Grey,Coupe
"Hyundai i30, 2015",₪ 31 900,157 000 km,4th hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Black,Estate 5-door
"Nissan X-Trail, 2018",₪ 89 900,88 200 km,1st hand,Diesel,1.6 l,130 hp,Variable,FWD,Black,SUV 5-doors
"Suzuki Vitara, 2020",₪ 89 900,33 600 km,1st hand,Gasoline,1.0 l,112 hp,Automatic,FWD,Black,SUV 5-doors
"Fiat 500, 2013",₪ 18 999,125 000 km,2nd hand,Gasoline,1.2 l,69 hp,Robotic,FWD,Light blue,Mini 3-doors
"Subaru XV, 2020",₪ 89 900,64 000 km,1st hand,Gasoline,1.6 l,114 hp,Variable,4x4,White,SUV 5-doors
"Chevrolet Captiva, 2011",₪ 26 900,221 000 km,1st hand,Diesel,2.2 l,184 hp,Automatic,4x4,Grey,SUV 5-doors
"Chevrolet Trax, 2015",₪ 34 500,142 000 km,1st hand,Gasoline,1.8 l,141 hp,Automatic,FWD,White,SUV 5-doors
"Mitsubishi ASX, 2020",₪ 89 500,139 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Mazda 3, 2017",₪ 67 900,123 000 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Grey,Sedan
"Suzuki SX4, 2016",₪ 49 900,106 900 km,2nd hand,Gasoline,1.6 l,118 hp,Variable,FWD,Grey,SUV 5-doors
"Hyundai i30, 2015",₪ 34 900,179 000 km,2nd hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Silver,Estate 5-door
"Honda Civic, 2012",₪ 27 900,163 000 km,2nd hand,Gasoline,1.8 l,142 hp,Automatic,FWD,Grey,Hatchback 5-door
"Kia Picanto, 2011",₪ 16 000,146 500 km,2nd hand,Gasoline,1.0 l,69 hp,Manual,FWD,Silver,Mini 5-doors
"Nissan Qashqai, 2020",₪ 94 000,78 000 km,2nd hand,Diesel,1.5 l,115 hp,Robotic,FWD,Black,SUV 5-doors
"BMW 3 series, 2006",₪ 26 000,162 000 km,4th hand,Gasoline,2.0 l,150 hp,Automatic,RWD,Grey,Sedan
"Hyundai IONIQ, 2021",₪ 97 900,79 000 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,White,Hatchback 5-door
"GAC Motor GE3, 2021",₪ 86 000,108 000 km,2nd hand,Electro,,177 hp,Automatic,FWD,White,SUV 5-doors
"Daihatsu Terios, 2010",₪ 27 900,207 000 km,2nd hand,Gasoline,1.5 l,105 hp,Automatic,4x4,Black,SUV 5-doors
"Hyundai i30, 2014",₪ 36 900,85 500 km,2nd hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Grey,Estate 5-door
"Nissan Tiida, 2008",₪ 9 900,210 000 km,4th hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Beige,Sedan
"Hyundai i30, 2008",₪ 17 000,162 000 km,4th hand,Gasoline,2.0 l,143 hp,Automatic,FWD,Blue,Hatchback 5-door
"Kia Sportage, 2016",₪ 49 900,128 000 km,2nd hand,Gasoline,1.6 l,133 hp,Automatic,FWD,White,SUV 5-doors
"Kia Seltos, 2023",₪ 133 900,13 700 km,1st hand,Gasoline,2.0 l,149 hp,Automatic,FWD,Black,SUV 5-doors
"Nissan Juke, 2015",₪ 34 900,148 000 km,1st hand,Gasoline,1.6 l,117 hp,Variable,FWD,Blue,SUV 5-doors
"Mazda CX-5, 2018",₪ 109 900,102 900 km,2nd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,White,SUV 5-doors
"Toyota Yaris, 2014",₪ 42 900,145 000 km,1st hand,Hybrid,1.5 l,76 hp,Variable,FWD,Light blue,Mini 5-doors
"Volkswagen Golf, 2008",₪ 20 999,185 000 km,4th hand,Gasoline,1.6 l,102 hp,Automatic,FWD,Red,Hatchback 5-door
"Fiat Doblo, 2018",₪ 35 000,137 000 km,2nd hand,Diesel,1.3 l,95 hp,Manual,FWD,White,Van
"Mazda 3, 2016",₪ 55 000,90 000 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,White,Sedan
"Mitsubishi Space Star, 2021",₪ 62 900,27 000 km,2nd hand,Gasoline,1.2 l,80 hp,Variable,FWD,Silver,Hatchback 5-door
"Renault Megane, 2016",₪ 26 900,178 000 km,2nd hand,Diesel,1.5 l,110 hp,Robotic,FWD,White,Estate 5-door
"Kia Ceed, 2015",₪ 35 900,139 000 km,2nd hand,Gasoline,1.6 l,135 hp,Robotic,FWD,Black,Hatchback 5-door
"Subaru XV, 2015",₪ 49 900,101 000 km,3rd hand,Gasoline,1.6 l,114 hp,Variable,4x4,Grey,SUV 5-doors
"Citroen C1, 2012",₪ 11 900,149 000 km,3rd hand,Gasoline,1.0 l,68 hp,Manual,FWD,Light blue,Mini 5-doors
"Subaru Impreza, 2008",₪ 13 500,174 000 km,4th hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Black,Hatchback 5-door
"Suzuki Swift, 2023",₪ 103 900,9 400 km,1st hand,Gasoline,1.2 l,83 hp,Automatic,FWD,White,Mini 5-doors
"Renault Captur, 2014",₪ 36 900,51 000 km,2nd hand,Gasoline,1.2 l,118 hp,Robotic,FWD,Silver,SUV 5-doors
"Subaru XV, 2013",₪ 45 900,125 500 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,4x4,Silver,SUV 5-doors
"Renault Clio, 2017",₪ 31 900,147 000 km,3rd hand,Diesel,1.5 l,90 hp,Robotic,FWD,White,Estate 5-door
"Honda FR-V, 2009",₪ 22 900,172 000 km,1st hand,Gasoline,1.8 l,140 hp,Automatic,FWD,Grey,Compact Van
"Toyota Camry, 2021",₪ 144 900,29 000 km,1st hand,Hybrid,2.5 l,218 hp,Variable,FWD,White,Sedan
"Subaru Forester, 2009",₪ 27 900,187 000 km,4th hand,Gasoline,2.0 l,150 hp,Manual,4x4,Black,SUV 5-doors
"Hyundai Accent, 2019",₪ 64 900,94 100 km,1st hand,Gasoline,1.4 l,100 hp,Automatic,FWD,White,Sedan
"Volkswagen Jetta, 2014",₪ 31 900,134 000 km,4th hand,Gasoline,1.2 l,105 hp,Robotic,FWD,White,Sedan
"Kia Sportage, 2016",₪ 52 900,126 000 km,3rd hand,Gasoline,1.6 l,132 hp,Automatic,FWD,White,SUV 5-doors
"Kia Sportage, 2015",₪ 58 900,88 000 km,1st hand,Gasoline,1.6 l,133 hp,Automatic,FWD,White,SUV 5-doors
"Suzuki SX4, 2014",₪ 31 900,148 500 km,2nd hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Grey,Hatchback 5-door
"Mitsubishi Outlander, 2016",₪ 61 900,151 000 km,3rd hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
